🐶 dog_face
🐺 wolf_face
🐱 cat_face
🐭 mouse_face
🐹 hamster_face
🐰 rabbit_face
🐸 frog_face
🐯 tiger_face
🐨 koala
🐻 bear_face
🐷 pig_face
🐽 pig_nose
🐮 cow_face
🐗 boar
🐵 monkey_face
🐒 monkey
🐴 horse_face
🐑 sheep
🐘 elephant
🐼 panda_face
🐧 penguin
🐦 bird
🐤 baby_chick
🐥 front_facing_baby_chick
🐣 hatching_chick
🐔 chicken
🐍 snake
🐢 turtle
🐛 bug
🐝 honeybee
🐜 ant
🐞 lady_beetle
🐌 snail
🐙 octopus
🐚 spiral_shell
🐠 tropical_fish
🐟 fish
🐬 dolphin
🐳 spouting_whale
🐋 whale
🐄 cow
🐏 ram
🐀 rat
🐃 water_buffalo
🐅 tiger
🐇 rabbit
🐉 dragon
🐎 horse
🐐 goat
🐓 rooster
🐕 dog
🐖 pig
🐁 mouse
🐂 ox
🐲 dragon_face
🐡 blowfish
🐊 crocodile
🐫 bactrian_camel
🐪 dromedary_camel
🐆 leopard
🐈 cat
🐩 poodle
🐾 paw_prints
💐 bouquet
🌸 cherry_blossom
🌷 tulip
🍀 four_leaf_clover
🌹 rose
🌻 sunflower
🌺 hibiscus
🍁 maple_leaf
🍃 leaf_fluttering_in_wind
🍂 fallen_leaf
🌿 herb
🌾 ear_of_rice
🍄 mushroom
🌵 cactus
🌴 palm_tree
🌲 evergreen_tree
🌳 deciduous_tree
🌰 chestnut
🌱 seedling
🌼 blossom
🌐 globe_with_meridians
🌞 sun_with_face
🌝 full_moon_with_face
🌚 new_moon_with_face
🌑 new_moon_symbol
🌒 waxing_crescent_moon_symbol
🌓 first_quarter_moon_symbol
🌔 waxing_gibbous_moon_symbol
🌕 full_moon_symbol
🌖 waning_gibbous_moon_symbol
🌗 last_quarter_moon_symbol
🌘 waning_crescent_moon_symbol
🌜 last_quarter_moon_with_face
🌛 first_quarter_moon_with_face
🌙 crescent_moon
🌍 earth_globe_europe_africa
🌎 earth_globe_americas
🌏 earth_globe_asia_australia
🌋 volcano
🌌 milky_way
🌠 shooting_star
⭐ white_medium_star
☀ black_sun_with_rays
⛅ sun_behind_cloud
☁ cloud
⚡ high_voltage_sign
☔ umbrella_with_rain_drops
❄ snowflake
⛄ snowman_without_snow
🌀 cyclone
🌁 foggy
🌈 rainbow
🌊 water_wave
