🏠 house_building
🏡 house_with_garden
🏫 school
🏢 office_building
🏣 japanese_post_office
🏥 hospital
🏦 bank
🏪 convenience_store
🏩 love_hotel
🏨 hotel
💒 wedding
⛪ church
🏬 department_store
🏤 european_post_office
🌇 sunset_over_buildings
🌆 cityscape_at_dusk
🏯 japanese_castle
🏰 european_castle
⛺ tent
🏭 factory
🗼 tokyo_tower
🗾 silhouette_of_japan
🗻 mount_fuji
🌄 sunrise_over_mountains
🌅 sunrise
🌃 night_with_stars
🗽 statue_of_liberty
🌉 bridge_at_night
🎠 carousel_horse
🎡 ferris_wheel
⛲ fountain
🎢 roller_coaster
🚢 ship
⛵ sailboat
🚤 speedboat
🚣 rowboat
⚓ anchor
🚀 rocket
✈ airplane
💺 seat
🚁 helicopter
🚂 steam_locomotive
🚊 tram
🚉 station
🚞 mountain_railway
🚆 train
🚄 high_speed_train
🚅 high_speed_train_with_bullet_nose
🚈 light_rail
🚇 metro
🚝 monorail
🚋 tram_car
🚃 railway_car
🚎 trolleybus
🚌 bus
🚍 oncoming_bus
🚙 recreational_vehicle
🚘 oncoming_automobile
🚗 automobile
🚕 taxi
🚖 oncoming_taxi
🚛 articulated_lorry
🚚 delivery_truck
🚨 police_cars_revolving_light
🚓 police_car
🚔 oncoming_police_car
🚒 fire_engine
🚑 ambulance
🚐 minibus
🚲 bicycle
🚡 aerial_tramway
🚟 suspension_railway
🚠 mountain_cableway
🚜 tractor
💈 barber_pole
🚏 bus_stop
🎫 ticket
🚦 vertical_traffic_light
🚥 horizontal_traffic_light
⚠ warning_sign
🚧 construction_sign
🔰 japanese_symbol_for_beginner
⛽ fuel_pump
🏮 izakaya_lantern
🎰 slot_machine
♨ hot_springs
🗿 moyai
🎪 circus_tent
🎭 performing_arts
📍 round_pushpin
🚩 triangular_flag_on_post
🇯🇵 japan_flag
🇰🇷 south_korea_flag
🇩🇪 germany_flag
🇨🇳 china_flag
🇺🇸 usa_flag
🇫🇷 france_flag
🇪🇸 spain_flag
🇮🇹 italy_flag
🇷🇺 russia_flag
🇬🇧 great_britain_flag
