1⃣ keycap_1
2⃣ keycap_2
3⃣ keycap_3
4⃣ keycap_4
5⃣ keycap_5
6⃣ keycap_6
7⃣ keycap_7
8⃣ keycap_8
9⃣ keycap_9
0⃣ keycap_0
🔟 keycap_ten
🔢 input_symbol_for_numbers
# hash_key
🔣 input_symbol_for_symbols
⬆ upwards_black_arrow
⬇ downwards_black_arrow
⬅ leftwards_black_arrow
➡ black_rightwards_arrow
🔠 input_symbol_for_latin_capital_letters
🔡 input_symbol_for_latin_small_letters
🔤 input_symbol_for_latin_letters
↗ north_east_arrow
↖ north_west_arrow
↘ south_east_arrow
↙ south_west_arrow
↔ left_right_arrow
↕ up_down_arrow
🔄 anticlockwise_downwards_and_upwards
◀ black_left_pointing_triangle
▶ black_right_pointing_triangle
🔼 up_pointing_small_red_triangle
🔽 down_pointing_small_red_triangle
↩ leftwards_arrow_with_hook
↪ rightwards_arrow_with_hook
ℹ information_source
⏪ black_left_pointing_double_triangle
⏩ black_right_pointing_double_triangle
⏫ black_up_pointing_double_triangle
⏬ black_down_pointing_double_triangle
⤵ arrow_pointing_rightwards_then_curving_downwards
⤴ arrow_pointing_rightwards_then_curving_upwards
🆗 squared_ok
🔀 twisted_rightwards_arrows
🔁 clockwise_rightwards_and_leftwards_open_circle_arrows
🔂 clockwise_rightwards_and_leftwards_open_circle_arrows_with_circled_one_overlay
🆕 squared_new
🆙 squared_up_with_exclamation_mark
🆒 squared_cool
🆓 squared_free
🆖 squared_ng
📶 antenna_with_bars
🎦 cinema
🈁 squared_katakana_koko
🈯 squared_cjk_unified_ideograph_6307
🈳 squared_cjk unified_ideograph_7a7a
🈵 squared_cjk unified_ideograph_6e80
🈴 squared_cjk unified_ideograph_5408
🈲 squared_cjk unified_ideograph_7981
🉐 circled_ideograph_advantage
🈹 squared_cjk unified_ideograph_5272
🈺 squared_cjk unified_ideograph_55b6
🈶 squared_cjk unified_ideograph_6709
🈚 squared_cjk unified_ideograph_7121
🚻 restroom
🚹 mens_symbol
🚺 womens_symbol
🚼 baby_symbol
🚾 water_closet
🚰 potable_water_symbol
🚮 put_litter_in_its_place_symbol
🅿 negative_squared_latin_capital_letter_p
♿ wheelchair_symbol
🚭 no_smoking_symbol
🈷 squared_cjk_unified_ideograph_6708
🈸 squared_cjk_unified_ideograph_7533
🈂 squared_katakana_sa
Ⓜ circled_latin_capital_letter_m
🛂 passport_control
🛄 baggage_claim
🛅 left_luggage
🛃 customs
🉑 circled_ideograph_accept
㊙ circled_ideograph_secret
㊗ circled_ideograph_congratulation
🆑 squared_cl
🆘 squared_sos
